area name,area slug,area example postcode
Cambridgeshire County Council,cambridge,CB2 1TB
Cumberland Council,cumberland,CA8 9LU
Derby City,derby,DE1 2AB
Devon County Council,north-devon,EX39 4JJ
East Sussex County Council,rother,TN35 4AX
Essex County Council,chelmsford,CM3 1BG
Gloucestershire County Council,gloucester,GL2 2FY
Hampshire County Council,hart,RG27 0LD
Hertfordshire County Council,east-hertfordshire,SG14 1BY
Kent County Council,maidstone,TN27 9PT
Halton Borough Council,halton,WA7 2AD
Leicestershire County Council,charnwood,LE12 8RZ
Lincolnshire County Council,north-kesteven,LN6 9NH
Norfolk County Council,north-norfolk,NR12 9AB
West Northamptonshire Council,west-northamptonshire,NN4 8BS
North Yorkshire Council,north-yorkshire,HG4 3ET
Nottingham City Council,nottingham,NG2 3JL
Oxfordshire County Council,oxford,OX2 0NG
Somerset Council,somerset,TA13 5BW
Staffordshire County Council,newcastle-under-lyme,ST5 3NE
Suffolk County Council,east-suffolk,IP15 5AU
Surrey County Council,guildford,GU1 3HQ
Warwickshire County Council,warwick,CV34 5YN
West Sussex County Council,horsham,BN5 9LJ
Worcestershire County Council,worcester,WR2 5BA
